Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Afghanistan,33,65,2020/3/21,24
,Afghanistan,33,65,2020/3/20,24
,Afghanistan,33,65,2020/3/19,22
,Afghanistan,33,65,2020/3/18,22
,Afghanistan,33,65,2020/3/17,22
,Afghanistan,33,65,2020/3/16,21
,Afghanistan,33,65,2020/3/15,16
,Afghanistan,33,65,2020/3/14,11
,Afghanistan,33,65,2020/3/13,7
,Afghanistan,33,65,2020/3/12,7
,Afghanistan,33,65,2020/3/11,7
,Afghanistan,33,65,2020/3/10,5
,Afghanistan,33,65,2020/3/9,4
,Afghanistan,33,65,2020/3/8,4
,Afghanistan,33,65,2020/3/7,1
,Afghanistan,33,65,2020/3/6,1
,Afghanistan,33,65,2020/3/5,1
,Afghanistan,33,65,2020/3/4,1
,Afghanistan,33,65,2020/3/3,1
,Afghanistan,33,65,2020/3/2,1
,Afghanistan,33,65,2020/3/1,1
,Afghanistan,33,65,2020/2/29,1
,Afghanistan,33,65,2020/2/28,1
,Afghanistan,33,65,2020/2/27,1
,Afghanistan,33,65,2020/2/26,1
,Afghanistan,33,65,2020/2/25,1
,Afghanistan,33,65,2020/2/24,1
,Afghanistan,33,65,2020/2/23,0
,Afghanistan,33,65,2020/2/22,0
,Afghanistan,33,65,2020/2/21,0
,Afghanistan,33,65,2020/2/20,0
,Afghanistan,33,65,2020/2/19,0
,Afghanistan,33,65,2020/2/18,0
,Afghanistan,33,65,2020/2/17,0
,Afghanistan,33,65,2020/2/16,0
,Afghanistan,33,65,2020/2/15,0
,Afghanistan,33,65,2020/2/14,0
,Afghanistan,33,65,2020/2/13,0
,Afghanistan,33,65,2020/2/12,0
,Afghanistan,33,65,2020/2/11,0
,Afghanistan,33,65,2020/2/10,0
,Afghanistan,33,65,2020/2/9,0
,Afghanistan,33,65,2020/2/8,0
,Afghanistan,33,65,2020/2/7,0
,Afghanistan,33,65,2020/2/6,0
,Afghanistan,33,65,2020/2/5,0
,Afghanistan,33,65,2020/2/4,0
,Afghanistan,33,65,2020/2/3,0
,Afghanistan,33,65,2020/2/2,0
,Afghanistan,33,65,2020/2/1,0
,Afghanistan,33,65,2020/1/31,0
,Afghanistan,33,65,2020/1/30,0
,Afghanistan,33,65,2020/1/29,0
,Afghanistan,33,65,2020/1/28,0
,Afghanistan,33,65,2020/1/27,0
,Afghanistan,33,65,2020/1/26,0
,Afghanistan,33,65,2020/1/25,0
,Afghanistan,33,65,2020/1/24,0
,Afghanistan,33,65,2020/1/23,0
,Afghanistan,33,65,2020/1/22,0
,Albania,41.1533,20.1683,2020/3/21,76
,Albania,41.1533,20.1683,2020/3/20,70
,Albania,41.1533,20.1683,2020/3/19,64
,Albania,41.1533,20.1683,2020/3/18,59
,Albania,41.1533,20.1683,2020/3/17,55
,Albania,41.1533,20.1683,2020/3/16,51
,Albania,41.1533,20.1683,2020/3/15,42
,Albania,41.1533,20.1683,2020/3/14,38
,Albania,41.1533,20.1683,2020/3/13,33
,Albania,41.1533,20.1683,2020/3/12,23
,Albania,41.1533,20.1683,2020/3/11,12
,Albania,41.1533,20.1683,2020/3/10,10
,Albania,41.1533,20.1683,2020/3/9,2
,Albania,41.1533,20.1683,2020/3/8,0
,Albania,41.1533,20.1683,2020/3/7,0
,Albania,41.1533,20.1683,2020/3/6,0
,Albania,41.1533,20.1683,2020/3/5,0
,Albania,41.1533,20.1683,2020/3/4,0
,Albania,41.1533,20.1683,2020/3/3,0
,Albania,41.1533,20.1683,2020/3/2,0
,Albania,41.1533,20.1683,2020/3/1,0
,Albania,41.1533,20.1683,2020/2/29,0
,Albania,41.1533,20.1683,2020/2/28,0
,Albania,41.1533,20.1683,2020/2/27,0
,Albania,41.1533,20.1683,2020/2/26,0
,Albania,41.1533,20.1683,2020/2/25,0
,Albania,41.1533,20.1683,2020/2/24,0
,Albania,41.1533,20.1683,2020/2/23,0
,Albania,41.1533,20.1683,2020/2/22,0
,Albania,41.1533,20.1683,2020/2/21,0
,Albania,41.1533,20.1683,2020/2/20,0
,Albania,41.1533,20.1683,2020/2/19,0
,Albania,41.1533,20.1683,2020/2/18,0
,Albania,41.1533,20.1683,2020/2/17,0
,Albania,41.1533,20.1683,2020/2/16,0
,Albania,41.1533,20.1683,2020/2/15,0
,Albania,41.1533,20.1683,2020/2/14,0
,Albania,41.1533,20.1683,2020/2/13,0
,Albania,41.1533,20.1683,2020/2/12,0
,Albania,41.1533,20.1683,2020/2/11,0
,Albania,41.1533,20.1683,2020/2/10,0
,Albania,41.1533,20.1683,2020/2/9,0
,Albania,41.1533,20.1683,2020/2/8,0
,Albania,41.1533,20.1683,2020/2/7,0
,Albania,41.1533,20.1683,2020/2/6,0
,Albania,41.1533,20.1683,2020/2/5,0
,Albania,41.1533,20.1683,2020/2/4,0
,Albania,41.1533,20.1683,2020/2/3,0
,Albania,41.1533,20.1683,2020/2/2,0
,Albania,41.1533,20.1683,2020/2/1,0
,Albania,41.1533,20.1683,2020/1/31,0
,Albania,41.1533,20.1683,2020/1/30,0
,Albania,41.1533,20.1683,2020/1/29,0
,Albania,41.1533,20.1683,2020/1/28,0
,Albania,41.1533,20.1683,2020/1/27,0
,Albania,41.1533,20.1683,2020/1/26,0
,Albania,41.1533,20.1683,2020/1/25,0
,Albania,41.1533,20.1683,2020/1/24,0
,Albania,41.1533,20.1683,2020/1/23,0
,Albania,41.1533,20.1683,2020/1/22,0
,Algeria,28.0339,1.6596,2020/3/21,139
,Algeria,28.0339,1.6596,2020/3/20,90
,Algeria,28.0339,1.6596,2020/3/19,87
,Algeria,28.0339,1.6596,2020/3/18,74
,Algeria,28.0339,1.6596,2020/3/17,60
,Algeria,28.0339,1.6596,2020/3/16,54
,Algeria,28.0339,1.6596,2020/3/15,48
,Algeria,28.0339,1.6596,2020/3/14,37
,Algeria,28.0339,1.6596,2020/3/13,26
,Algeria,28.0339,1.6596,2020/3/12,24
,Algeria,28.0339,1.6596,2020/3/11,20
,Algeria,28.0339,1.6596,2020/3/10,20
,Algeria,28.0339,1.6596,2020/3/9,20
,Algeria,28.0339,1.6596,2020/3/8,19
,Algeria,28.0339,1.6596,2020/3/7,17
,Algeria,28.0339,1.6596,2020/3/6,17
,Algeria,28.0339,1.6596,2020/3/5,12
,Algeria,28.0339,1.6596,2020/3/4,12
,Algeria,28.0339,1.6596,2020/3/3,5
,Algeria,28.0339,1.6596,2020/3/2,3
,Algeria,28.0339,1.6596,2020/3/1,1
,Algeria,28.0339,1.6596,2020/2/29,1
,Algeria,28.0339,1.6596,2020/2/28,1
,Algeria,28.0339,1.6596,2020/2/27,1
,Algeria,28.0339,1.6596,2020/2/26,1
,Algeria,28.0339,1.6596,2020/2/25,1
,Algeria,28.0339,1.6596,2020/2/24,0
,Algeria,28.0339,1.6596,2020/2/23,0
,Algeria,28.0339,1.6596,2020/2/22,0
,Algeria,28.0339,1.6596,2020/2/21,0
,Algeria,28.0339,1.6596,2020/2/20,0
,Algeria,28.0339,1.6596,2020/2/19,0
,Algeria,28.0339,1.6596,2020/2/18,0
,Algeria,28.0339,1.6596,2020/2/17,0
,Algeria,28.0339,1.6596,2020/2/16,0
,Algeria,28.0339,1.6596,2020/2/15,0
,Algeria,28.0339,1.6596,2020/2/14,0
,Algeria,28.0339,1.6596,2020/2/13,0
,Algeria,28.0339,1.6596,2020/2/12,0
,Algeria,28.0339,1.6596,2020/2/11,0
,Algeria,28.0339,1.6596,2020/2/10,0
,Algeria,28.0339,1.6596,2020/2/9,0
,Algeria,28.0339,1.6596,2020/2/8,0
,Algeria,28.0339,1.6596,2020/2/7,0
,Algeria,28.0339,1.6596,2020/2/6,0
,Algeria,28.0339,1.6596,2020/2/5,0
,Algeria,28.0339,1.6596,2020/2/4,0
,Algeria,28.0339,1.6596,2020/2/3,0
,Algeria,28.0339,1.6596,2020/2/2,0
,Algeria,28.0339,1.6596,2020/2/1,0
,Algeria,28.0339,1.6596,2020/1/31,0
,Algeria,28.0339,1.6596,2020/1/30,0
,Algeria,28.0339,1.6596,2020/1/29,0
,Algeria,28.0339,1.6596,2020/1/28,0
,Algeria,28.0339,1.6596,2020/1/27,0
,Algeria,28.0339,1.6596,2020/1/26,0
,Algeria,28.0339,1.6596,2020/1/25,0
,Algeria,28.0339,1.6596,2020/1/24,0
,Algeria,28.0339,1.6596,2020/1/23,0
,Algeria,28.0339,1.6596,2020/1/22,0
,Andorra,42.5063,1.5218,2020/3/21,88
,Andorra,42.5063,1.5218,2020/3/20,75
,Andorra,42.5063,1.5218,2020/3/19,53
,Andorra,42.5063,1.5218,2020/3/18,39
,Andorra,42.5063,1.5218,2020/3/17,39
,Andorra,42.5063,1.5218,2020/3/16,2
,Andorra,42.5063,1.5218,2020/3/15,1
,Andorra,42.5063,1.5218,2020/3/14,1
,Andorra,42.5063,1.5218,2020/3/13,1
,Andorra,42.5063,1.5218,2020/3/12,1
,Andorra,42.5063,1.5218,2020/3/11,1
,Andorra,42.5063,1.5218,2020/3/10,1
,Andorra,42.5063,1.5218,2020/3/9,1
,Andorra,42.5063,1.5218,2020/3/8,1
,Andorra,42.5063,1.5218,2020/3/7,1
,Andorra,42.5063,1.5218,2020/3/6,1
,Andorra,42.5063,1.5218,2020/3/5,1
,Andorra,42.5063,1.5218,2020/3/4,1
,Andorra,42.5063,1.5218,2020/3/3,1
,Andorra,42.5063,1.5218,2020/3/2,1
,Andorra,42.5063,1.5218,2020/3/1,0
,Andorra,42.5063,1.5218,2020/2/29,0
,Andorra,42.5063,1.5218,2020/2/28,0
,Andorra,42.5063,1.5218,2020/2/27,0
,Andorra,42.5063,1.5218,2020/2/26,0
,Andorra,42.5063,1.5218,2020/2/25,0
,Andorra,42.5063,1.5218,2020/2/24,0
,Andorra,42.5063,1.5218,2020/2/23,0
,Andorra,42.5063,1.5218,2020/2/22,0
,Andorra,42.5063,1.5218,2020/2/21,0
,Andorra,42.5063,1.5218,2020/2/20,0
,Andorra,42.5063,1.5218,2020/2/19,0
,Andorra,42.5063,1.5218,2020/2/18,0
,Andorra,42.5063,1.5218,2020/2/17,0
,Andorra,42.5063,1.5218,2020/2/16,0
,Andorra,42.5063,1.5218,2020/2/15,0
,Andorra,42.5063,1.5218,2020/2/14,0
,Andorra,42.5063,1.5218,2020/2/13,0
,Andorra,42.5063,1.5218,2020/2/12,0
,Andorra,42.5063,1.5218,2020/2/11,0
,Andorra,42.5063,1.5218,2020/2/10,0
,Andorra,42.5063,1.5218,2020/2/9,0
,Andorra,42.5063,1.5218,2020/2/8,0
,Andorra,42.5063,1.5218,2020/2/7,0
,Andorra,42.5063,1.5218,2020/2/6,0
,Andorra,42.5063,1.5218,2020/2/5,0
,Andorra,42.5063,1.5218,2020/2/4,0
,Andorra,42.5063,1.5218,2020/2/3,0
,Andorra,42.5063,1.5218,2020/2/2,0
,Andorra,42.5063,1.5218,2020/2/1,0
,Andorra,42.5063,1.5218,2020/1/31,0
,Andorra,42.5063,1.5218,2020/1/30,0
,Andorra,42.5063,1.5218,2020/1/29,0
,Andorra,42.5063,1.5218,2020/1/28,0
,Andorra,42.5063,1.5218,2020/1/27,0
,Andorra,42.5063,1.5218,2020/1/26,0
,Andorra,42.5063,1.5218,2020/1/25,0
,Andorra,42.5063,1.5218,2020/1/24,0
,Andorra,42.5063,1.5218,2020/1/23,0
,Andorra,42.5063,1.5218,2020/1/22,0
,Angola,-11.2027,17.8739,2020/3/21,2
,Angola,-11.2027,17.8739,2020/3/20,1
,Angola,-11.2027,17.8739,2020/3/19,0
,Angola,-11.2027,17.8739,2020/3/18,0
,Angola,-11.2027,17.8739,2020/3/17,0
,Angola,-11.2027,17.8739,2020/3/16,0
,Angola,-11.2027,17.8739,2020/3/15,0
,Angola,-11.2027,17.8739,2020/3/14,0
,Angola,-11.2027,17.8739,2020/3/13,0
,Angola,-11.2027,17.8739,2020/3/12,0
,Angola,-11.2027,17.8739,2020/3/11,0
,Angola,-11.2027,17.8739,2020/3/10,0
,Angola,-11.2027,17.8739,2020/3/9,0
,Angola,-11.2027,17.8739,2020/3/8,0
,Angola,-11.2027,17.8739,2020/3/7,0
,Angola,-11.2027,17.8739,2020/3/6,0
,Angola,-11.2027,17.8739,2020/3/5,0
,Angola,-11.2027,17.8739,2020/3/4,0
,Angola,-11.2027,17.8739,2020/3/3,0
,Angola,-11.2027,17.8739,2020/3/2,0
,Angola,-11.2027,17.8739,2020/3/1,0
,Angola,-11.2027,17.8739,2020/2/29,0
,Angola,-11.2027,17.8739,2020/2/28,0
,Angola,-11.2027,17.8739,2020/2/27,0
,Angola,-11.2027,17.8739,2020/2/26,0
,Angola,-11.2027,17.8739,2020/2/25,0
,Angola,-11.2027,17.8739,2020/2/24,0
,Angola,-11.2027,17.8739,2020/2/23,0
,Angola,-11.2027,17.8739,2020/2/22,0
,Angola,-11.2027,17.8739,2020/2/21,0
,Angola,-11.2027,17.8739,2020/2/20,0
,Angola,-11.2027,17.8739,2020/2/19,0
,Angola,-11.2027,17.8739,2020/2/18,0
,Angola,-11.2027,17.8739,2020/2/17,0
,Angola,-11.2027,17.8739,2020/2/16,0
,Angola,-11.2027,17.8739,2020/2/15,0
,Angola,-11.2027,17.8739,2020/2/14,0
,Angola,-11.2027,17.8739,2020/2/13,0
,Angola,-11.2027,17.8739,2020/2/12,0
,Angola,-11.2027,17.8739,2020/2/11,0
,Angola,-11.2027,17.8739,2020/2/10,0
,Angola,-11.2027,17.8739,2020/2/9,0
,Angola,-11.2027,17.8739,2020/2/8,0
,Angola,-11.2027,17.8739,2020/2/7,0
,Angola,-11.2027,17.8739,2020/2/6,0
,Angola,-11.2027,17.8739,2020/2/5,0
,Angola,-11.2027,17.8739,2020/2/4,0
,Angola,-11.2027,17.8739,2020/2/3,0
